x	Disp
4.985	0.1057251
4.99	0.1060325
4.995	0.1063313
5	0.1066216
5.005	0.1069033
5.01	0.1071765
5.015	0.1074409
5.02	0.1076967
5.025	0.1079438
5.03	0.1081821
5.035	0.1084116
5.04	0.1086322
5.045	0.1088441
5.05	0.109047
5.055	0.109241
5.06	0.109426
5.065	0.1096021
5.07	0.1097692
5.075	0.1099272
5.08	0.1100762
5.085	0.1102161
5.09	0.1103468
5.095	0.1104685
5.1	0.1105809
5.105	0.1106842
5.11	0.1107783
5.115	0.1108632
5.12	0.1109388
5.125	0.1110052
5.13	0.1110622
5.135	0.11111
5.14	0.1111485
5.145	0.1111776
5.15	0.1111974
5.155	0.1112079
5.16	0.1112089
5.165	0.1112006
5.17	0.1111829
5.175	0.1111558
5.18	0.1111193
5.185	0.1110733
5.19	0.1110179
5.195	0.1109531
5.2	0.1108789
5.205	0.1107952
5.21	0.110702
5.215	0.1105994
5.22	0.1104873
5.225	0.1103658
5.23	0.1102348
5.235	0.1100944
5.24	0.1099445
5.245	0.1097851
5.25	0.1096163
5.255	0.109438
5.26	0.1092503
5.265	0.1090531
5.27	0.1088465
5.275	0.1086305
5.28	0.1084051
5.285	0.1081702
5.29	0.1079259
5.295	0.1076723
5.3	0.1074092
5.305	0.1071368
5.31	0.106855
5.315	0.1065639
5.32	0.1062634
5.325	0.1059536
5.33	0.1056345
5.335	0.1053061
5.34	0.1049685
5.345	0.1046216
5.35	0.1042655
5.355	0.1039001
5.36	0.1035256
5.365	0.1031419
5.37	0.1027491
5.375	0.1023471
5.38	0.101936
5.385	0.1015159
5.39	0.1010867
5.395	0.1006485
5.4	0.1002012
5.405	0.09974504
5.41	0.09927991
5.415	0.09880587
5.42	0.09832295
5.425	0.09783118
5.43	0.09733059
5.435	0.09682122
5.44	0.09630309
5.445	0.09577625
5.45	0.09524072
5.455	0.09469655
5.46	0.09414376
5.465	0.09358241
5.47	0.09301252
5.475	0.09243413
5.48	0.09184729
5.485	0.09125203
5.49	0.09064839
5.495	0.09003643
5.5	0.08941617
5.505	0.08878767
5.51	0.08815096
5.515	0.0875061
5.52	0.08685312
5.525	0.08619208
5.53	0.08552302
5.535	0.08484599
5.54	0.08416104
5.545	0.08346821
5.55	0.08276756
5.555	0.08205914
5.56	0.081343
5.565	0.08061919
5.57	0.07988777
5.575	0.07914878
5.58	0.07840229
5.585	0.07764834
5.59	0.076887
5.595	0.07611831
5.6	0.07534234
5.605	0.07455914
5.61	0.07376878
5.615	0.0729713
5.62	0.07216678
5.625	0.07135526
5.63	0.07053682
5.635	0.06971151
5.64	0.06887939
5.645	0.06804054
5.65	0.067195
5.655	0.06634285
5.66	0.06548414
5.665	0.06461896
5.67	0.06374735
5.675	0.06286939
5.68	0.06198514
5.685	0.06109468
5.69	0.06019806
5.695	0.05929536
5.7	0.05838665
5.705	0.05747199
5.71	0.05655147
5.715	0.05562514
5.72	0.05469308
5.725	0.05375536
5.73	0.05281205
5.735	0.05186323
5.74	0.05090898
5.745	0.04994935
5.75	0.04898444
5.755	0.04801431
5.76	0.04703904
5.765	0.0460587
5.77	0.04507337
5.775	0.04408314
5.78	0.04308806
5.785	0.04208824
5.79	0.04108373
5.795	0.04007462
5.8	0.039061
5.805	0.03804293
5.81	0.0370205
5.815	0.03599379
5.82	0.03496289
5.825	0.03392786
5.83	0.0328888
5.835	0.03184578
5.84	0.03079889
5.845	0.02974821
5.85	0.02869382
5.855	0.02763581
5.86	0.02657426
5.865	0.02550926
5.87	0.02444089
5.875	0.02336923
5.88	0.02229437
5.885	0.0212164
5.89	0.0201354
5.895	0.01905146
5.9	0.01796466
5.905	0.01687509
5.91	0.01578284
5.915	0.014688
5.92	0.01359066
5.925	0.01249089
5.93	0.0113888
5.935	0.01028446
5.94	0.009177974
5.945	0.008069424
5.95	0.006958901
5.955	0.005846494
5.96	0.004732292
5.965	0.003616388
5.97	0.002498869
5.975	0.001379828
5.98	0.000259355
5.985	-0.000862459
5.99	-0.001985523
5.995	-0.003109745
6	-0.004235034
6.005	-0.005361298
6.01	-0.006488446
6.015	-0.007616384
6.02	-0.008745021
6.025	-0.009874265
6.03	-0.01100402
6.035	-0.0121342
6.04	-0.01326471
6.045	-0.01439545
