Time	DOF 1	DOF 2	DOF 3	DOF 4	DOF 5	DOF 6	DOF 7	DOF 8	DOF 9	DOF 10	DOF 11	DOF 12	DOF 13	DOF 14	DOF 15	DOF 16	DOF 17	DOF 18
1.550775468349456787e-01	1.951626315712928772e-02	1.883819699287414551e-02	2.067650668323040009e-02	1.880066096782684326e-02	1.956100389361381531e-02	1.489509642124176025e-02	1.901085115969181061e-02	1.904613710939884186e-02	1.339251082390546799e-02	1.940428838133811951e-02	1.871324144303798676e-02	1.240842323750257492e-02	1.998341642320156097e-02	1.866575144231319427e-02	1.172404456883668900e-02	1.889621280133724213e-02	1.141586899757385254e-02	1.140376087278127670e-02
1.600800454616546631e-01	2.148942090570926666e-02	2.078898623585700989e-02	2.235653996467590332e-02	2.073314972221851349e-02	2.119470015168190002e-02	1.586519367992877960e-02	2.092947997152805328e-02	2.064590528607368469e-02	1.430961396545171738e-02	2.132124267518520355e-02	2.028438821434974670e-02	1.328206155449151993e-02	2.191093564033508301e-02	2.021887339651584625e-02	1.256140973418951035e-02	2.044579386711120605e-02	1.223082840442657471e-02	1.220976188778877258e-02
1.650825440883636475e-01	2.357810735702514648e-02	2.285501360893249512e-02	2.410703152418136597e-02	2.277855761349201202e-02	2.289890684187412262e-02	1.686006411910057068e-02	2.295838668942451477e-02	2.231548540294170380e-02	1.525265257805585861e-02	2.334648184478282928e-02	2.192470617592334747e-02	1.418201066553592682e-02	2.394540980458259583e-02	2.184037677943706512e-02	1.342520955950021744e-02	2.206293120980262756e-02	1.307206135243177414e-02	1.304184086620807648e-02
1.700850427150726318e-01	2.578344196081161499e-02	2.503725886344909668e-02	2.592746354639530182e-02	2.493781596422195435e-02	2.467308752238750458e-02	1.787875033915042877e-02	2.509852126240730286e-02	2.405437640845775604e-02	1.622072234749794006e-02	2.548095025122165680e-02	2.363376691937446594e-02	1.510739699006080627e-02	2.608783729374408722e-02	2.352994680404663086e-02	1.431466732174158096e-02	2.374742366373538971e-02	1.393890194594860077e-02	1.389937009662389755e-02
1.750875562429428101e-01	2.810664661228656769e-02	2.733680605888366699e-02	2.781730517745018005e-02	2.721192315220832825e-02	2.651676349341869354e-02	1.892034895718097687e-02	2.735092118382453918e-02	2.586215361952781677e-02	1.721293851733207703e-02	2.772571891546249390e-02	2.541118487715721130e-02	1.605737023055553436e-02	2.833930216729640961e-02	2.528732456266880035e-02	1.522904261946678162e-02	2.549911662936210632e-02	1.483072247356176376e-02	1.478172279894351959e-02
1.800900548696517944e-01	3.054899163544178009e-02	2.975475788116455078e-02	2.977612428367137909e-02	2.960196323692798615e-02	2.842951193451881409e-02	1.998398452997207642e-02	2.971669472754001617e-02	2.773843146860599518e-02	1.822847686707973480e-02	3.008189983665943146e-02	2.725662849843502045e-02	1.703112944960594177e-02	3.070093505084514618e-02	2.711229398846626282e-02	1.616763696074485779e-02	2.731792256236076355e-02	1.574691012501716614e-02	1.568833738565444946e-02
1.850925534963607788e-01	3.311171010136604309e-02	3.229219838976860046e-02	3.180341795086860657e-02	3.210895881056785583e-02	3.041088022291660309e-02	2.106877975165843964e-02	3.219687566161155701e-02	2.968282811343669891e-02	1.926649920642375946e-02	3.255052492022514343e-02	2.916972897946834564e-02	1.802789606153964996e-02	3.317385166883468628e-02	2.900458127260208130e-02	1.712972670793533325e-02	2.920369803905487061e-02	1.668686605989933014e-02	1.661859266459941864e-02
1.900950521230697632e-01	3.579583764076232910e-02	3.494999185204505920e-02	3.389860689640045166e-02	3.473368659615516663e-02	3.246032074093818665e-02	2.217386849224567413e-02	3.479230031371116638e-02	3.169487416744232178e-02	2.032617293298244476e-02	3.513248637318611145e-02	3.115002252161502838e-02	1.904685236513614655e-02	3.575899824500083923e-02	3.096384182572364807e-02	1.811455376446247101e-02	3.115621581673622131e-02	1.764989271759986877e-02	1.757181994616985321e-02
1.950975507497787476e-01	3.860236704349517822e-02	3.772892057895660400e-02	3.606115281581878662e-02	3.747693076729774475e-02	3.457737341523170471e-02	2.329847216606140137e-02	3.750380128622055054e-02	3.377413377165794373e-02	2.140678651630878448e-02	3.782865405082702637e-02	3.319710493087768555e-02	2.008731104433536530e-02	3.845728933811187744e-02	3.298978507518768311e-02	1.912146806716918945e-02	3.317531198263168335e-02	1.863540895283222198e-02	1.854744553565979004e-02
2.001000642776489258e-01	4.153224080801010132e-02	4.062978923320770264e-02	3.829056769609451294e-02	4.033935815095901489e-02	3.676153719425201416e-02	2.444182895123958588e-02	4.033211991190910339e-02	3.592023625969886780e-02	2.250764332711696625e-02	4.063979163765907288e-02	3.531057015061378479e-02	2.114860340952873230e-02	4.126958176493644714e-02	3.508206456899642944e-02	2.014982700347900391e-02	3.526075184345245361e-02	1.964284479618072510e-02	1.954484358429908752e-02
