Time	DOF 1	DOF 2	DOF 3	DOF 4	DOF 5	DOF 6	DOF 7	DOF 8	DOF 9	DOF 10	DOF 11	DOF 12	DOF 13	DOF 14	DOF 15	DOF 16	DOF 17	DOF 18
1.700850427150726318e-01	4.708825111389160156e+00	4.685891628265380859e+00	2.773368358612060547e+00	4.588790893554687500e+00	2.776248931884765625e+00	9.150670170783996582e-01	4.485215663909912109e+00	2.751734495162963867e+00	9.646659493446350098e-01	4.406266689300537109e+00	2.730875492095947266e+00	9.822689294815063477e-01	4.355954170227050781e+00	2.708851814270019531e+00	9.953619837760925293e-01	2.684838533401489258e+00	9.976804256439208984e-01	9.920983910560607910e-01
1.750875562429428101e-01	4.761341571807861328e+00	4.732671260833740234e+00	2.756520032882690430e+00	4.633613586425781250e+00	2.760309457778930664e+00	8.804797530174255371e-01	4.530854701995849609e+00	2.737742185592651367e+00	9.317438602447509766e-01	4.451999664306640625e+00	2.718547821044921875e+00	9.508112668991088867e-01	4.403072834014892578e+00	2.701113939285278320e+00	9.678494334220886230e-01	2.681962728500366211e+00	9.743121266365051270e-01	9.693342447280883789e-01
1.800900548696517944e-01	4.811270236968994141e+00	4.775844097137451172e+00	2.737375736236572266e+00	4.674355506896972656e+00	2.742914199829101562e+00	8.461099863052368164e-01	4.572978973388671875e+00	2.722753286361694336e+00	8.989052772521972656e-01	4.495088577270507812e+00	2.704479694366455078e+00	9.192636609077453613e-01	4.447937488555908203e+00	2.691301345825195312e+00	9.391092061996459961e-01	2.677125692367553711e+00	9.494272470474243164e-01	9.449498653411865234e-01
1.850925534963607788e-01	4.849260807037353516e+00	4.806569099426269531e+00	2.710889816284179688e+00	4.702800273895263672e+00	2.718234777450561523e+00	8.096745610237121582e-01	4.603319644927978516e+00	2.700790166854858398e+00	8.640422224998474121e-01	4.527118206024169922e+00	2.683253049850463867e+00	8.856075406074523926e-01	4.482367992401123047e+00	2.674470663070678711e+00	9.076579809188842773e-01	2.665462255477905273e+00	9.214639663696289062e-01	9.174292683601379395e-01
1.900950521230697632e-01	4.892063617706298828e+00	4.842119693756103516e+00	2.692467689514160156e+00	4.735934734344482422e+00	2.701589584350585938e+00	7.798428535461425781e-01	4.638605117797851562e+00	2.686963319778442383e+00	8.365216255187988281e-01	4.563819885253906250e+00	2.669241189956665039e+00	8.591583371162414551e-01	4.522055149078369141e+00	2.664397001266479492e+00	8.825203180313110352e-01	2.660132646560668945e+00	8.987012505531311035e-01	8.944525122642517090e-01
1.950975507497787476e-01	4.928562164306640625e+00	4.871549606323242188e+00	2.670573234558105469e+00	4.763132095336914062e+00	2.681670188903808594e+00	7.490921616554260254e-01	4.667866706848144531e+00	2.670018911361694336e+00	8.083899617195129395e-01	4.594405651092529297e+00	2.651854276657104492e+00	8.322951197624206543e-01	4.555559635162353516e+00	2.650722503662109375e+00	8.567681908607482910e-01	2.651171684265136719e+00	8.750731945037841797e-01	8.703450560569763184e-01
2.001000642776489258e-01	4.956773757934570312e+00	4.893119335174560547e+00	2.644818782806396484e+00	4.782632350921630859e+00	2.658041000366210938e+00	7.176198959350585938e-01	4.689283370971679688e+00	2.649467468261718750e+00	7.797318100929260254e-01	4.617016315460205078e+00	2.630673885345458984e+00	8.051722049713134766e-01	4.580907344818115234e+00	2.632920265197753906e+00	8.305971622467041016e-01	2.637884140014648438e+00	8.507370948791503906e-01	8.452813029289245605e-01
2.051025629043579102e-01	4.943250656127929688e+00	4.878395080566406250e+00	2.631065368652343750e+00	4.764702320098876953e+00	2.646015882492065430e+00	7.128378748893737793e-01	4.672316074371337891e+00	2.637957572937011719e+00	7.702862024307250977e-01	4.602660655975341797e+00	2.618982553482055664e+00	7.969192862510681152e-01	4.568496227264404297e+00	2.621006488800048828e+00	8.243982791900634766e-01	2.626804351806640625e+00	8.454090952873229980e-01	8.402580022811889648e-01
2.101050615310668945e-01	4.914839744567871094e+00	4.849715232849121094e+00	2.607618331909179688e+00	4.732809543609619141e+00	2.624783515930175781e+00	7.030930519104003906e-01	4.641093730926513672e+00	2.617510557174682617e+00	7.570206522941589355e-01	4.574120998382568359e+00	2.598275423049926758e+00	7.850837111473083496e-01	4.541652679443359375e+00	2.599656105041503906e+00	8.147821426391601562e-01	2.605857372283935547e+00	8.362752795219421387e-01	8.312078118324279785e-01
2.151075601577758789e-01	4.874247550964355469e+00	4.809143066406250000e+00	2.575866937637329102e+00	4.689133644104003906e+00	2.595729827880859375e+00	6.891092061996459961e-01	4.597901344299316406e+00	2.589334726333618164e+00	7.401351332664489746e-01	4.533514976501464844e+00	2.569865703582763672e+00	7.702088952064514160e-01	4.502530574798583984e+00	2.570276498794555664e+00	8.022014498710632324e-01	2.576448678970336914e+00	8.238581418991088867e-01	8.186769485473632812e-01
