Time	DOF 1	DOF 2	DOF 3	DOF 4	DOF 5	DOF 6	DOF 7	DOF 8	DOF 9	DOF 10	DOF 11	DOF 12	DOF 13	DOF 14	DOF 15	DOF 16	DOF 17	DOF 18
1.400700360536575317e-01	3.150138854980468750e-01	3.105447590351104736e-01	2.854516506195068359e-01	3.084299862384796143e-01	2.761629521846771240e-01	1.749849319458007812e-01	3.075480163097381592e-01	2.699353098869323730e-01	1.636141687631607056e-01	3.086298704147338867e-01	2.647873461246490479e-01	1.547416001558303833e-01	3.116783201694488525e-01	2.619379460811614990e-01	1.475595086812973022e-01	2.619493007659912109e-01	1.433637291193008423e-01	1.417824327945709229e-01
1.450725346803665161e-01	3.374982774257659912e-01	3.330590426921844482e-01	3.000302314758300781e-01	3.305173814296722412e-01	2.907498180866241455e-01	1.806607693433761597e-01	3.290901482105255127e-01	2.843546867370605469e-01	1.695041060447692871e-01	3.297648727893829346e-01	2.790204584598541260e-01	1.606725305318832397e-01	3.325457572937011719e-01	2.759243547916412354e-01	1.534453034400939941e-01	2.757104933261871338e-01	1.491407901048660278e-01	1.474865227937698364e-01
1.500750482082366943e-01	3.601391017436981201e-01	3.557064235210418701e-01	3.144609630107879639e-01	3.527270853519439697e-01	3.051877617835998535e-01	1.861248463392257690e-01	3.507587909698486328e-01	2.986323535442352295e-01	1.751884967088699341e-01	3.510279655456542969e-01	2.931303083896636963e-01	1.664076894521713257e-01	3.535396158695220947e-01	2.898123562335968018e-01	1.591552495956420898e-01	2.893877625465393066e-01	1.547637879848480225e-01	1.530476957559585571e-01
1.550775468349456787e-01	3.829514980316162109e-01	3.785003125667572021e-01	3.287501037120819092e-01	3.750720322132110596e-01	3.194836974143981934e-01	1.913804560899734497e-01	3.725678622722625732e-01	3.127751350402832031e-01	1.806701719760894775e-01	3.724333643913269043e-01	3.071227371692657471e-01	1.719495207071304321e-01	3.746771216392517090e-01	3.036079704761505127e-01	1.646918803453445435e-01	3.029893934726715088e-01	1.602355390787124634e-01	1.584676504135131836e-01
1.600800454616546631e-01	4.059481620788574219e-01	4.014523625373840332e-01	3.429028987884521484e-01	3.975640535354614258e-01	3.336443305015563965e-01	1.964315772056579590e-01	3.945290446281433105e-01	3.267907500267028809e-01	1.859531402587890625e-01	3.939940631389617920e-01	3.210034668445587158e-01	1.773016005754470825e-01	3.959725797176361084e-01	3.173171281814575195e-01	1.700589656829833984e-01	3.165237009525299072e-01	1.655599325895309448e-01	1.637488454580307007e-01
1.650825440883636475e-01	4.291521608829498291e-01	4.245841205120086670e-01	3.569334149360656738e-01	4.202255308628082275e-01	3.476845026016235352e-01	2.012870013713836670e-01	4.166650176048278809e-01	3.406944870948791504e-01	1.910463869571685791e-01	4.157323539257049561e-01	3.347860872745513916e-01	1.824716925621032715e-01	4.174499213695526123e-01	3.309532701969146729e-01	1.752644330263137817e-01	3.300053477287292480e-01	1.707446277141571045e-01	1.688976734876632690e-01
1.700850427150726318e-01	4.525856673717498779e-01	4.479171335697174072e-01	3.708557784557342529e-01	4.430778026580810547e-01	3.616194128990173340e-01	2.059550285339355469e-01	4.389969706535339355e-01	3.545022904872894287e-01	1.959589570760726929e-01	4.376685321331024170e-01	3.484844565391540527e-01	1.874686479568481445e-01	4.391310811042785645e-01	3.445293307304382324e-01	1.803168356418609619e-01	3.434497714042663574e-01	1.757980436086654663e-01	1.739209145307540894e-01
1.750875562429428101e-01	4.762715995311737061e-01	4.714739620685577393e-01	3.846863210201263428e-01	4.661439657211303711e-01	3.754666447639465332e-01	2.104455083608627319e-01	4.615472257137298584e-01	3.682316541671752930e-01	2.007014602422714233e-01	4.598240554332733154e-01	3.621138632297515869e-01	1.923029571771621704e-01	4.610385894775390625e-01	3.580601811408996582e-01	1.852265447378158569e-01	3.568724691867828369e-01	1.807297468185424805e-01	1.788263618946075439e-01
1.800900548696517944e-01	5.002179145812988281e-01	4.952604174613952637e-01	3.984301686286926270e-01	4.894292950630187988e-01	3.892332613468170166e-01	2.147643715143203735e-01	4.843211770057678223e-01	3.818911314010620117e-01	2.052807360887527466e-01	4.822056293487548828e-01	3.756798207759857178e-01	1.969810128211975098e-01	4.831791520118713379e-01	3.715498447418212891e-01	1.899975985288619995e-01	3.702788949012756348e-01	1.855429857969284058e-01	1.836158484220504761e-01
1.850925534963607788e-01	5.243903994560241699e-01	5.192376375198364258e-01	4.120627343654632568e-01	5.128927826881408691e-01	4.028985202312469482e-01	2.189074009656906128e-01	5.072822570800781250e-01	3.954620957374572754e-01	2.096918523311614990e-01	5.047806501388549805e-01	3.891611993312835693e-01	2.014969736337661743e-01	5.055242180824279785e-01	3.849759995937347412e-01	1.946184486150741577e-01	3.836469352245330811e-01	1.902244985103607178e-01	1.882760822772979736e-01
