t	Acceleration
2.79	-0.00590079
2.795	-0.00444607
2.8	0.00702713
2.805	0.0285873
2.81	0.0469808
2.815	0.0519573
2.82	0.0438797
2.825	0.0248119
2.83	0.0207522
2.835	0.0331905
2.84	0.0496689
2.845	0.0572452
2.85	0.0295821
2.855	-0.0063713
2.86	-0.0378146
2.865	-0.0561779
2.87	-0.0552769
2.875	-0.0379591
2.88	-0.00681001
2.885	0.0342007
2.89	0.0716089
2.895	0.0839364
2.9	0.0781215
2.905	0.0588028
2.91	0.0340598
2.915	0.0105101
2.92	-0.0119095
2.925	-0.0312245
2.93	-0.0440665
2.935	-0.0364242
2.94	-0.0184778
2.945	-0.000763118
2.95	0.00534065
2.955	-0.0197227
2.96	-0.0488995
2.965	-0.070465
2.97	-0.0752083
2.975	-0.0552752
2.98	-0.0216643
2.985	0.0205351
2.99	0.0654375
2.995	0.0930192
3	0.0829786
3.005	0.0549704
3.01	0.0218542
3.015	0.00729695
3.02	0.00918793
3.025	0.0104173
3.03	0.00718992
3.035	-0.00239419
3.04	-0.0165087
3.045	-0.0374123
3.05	-0.062251
3.055	-0.0869643
3.06	-0.0879579
3.065	-0.0741336
3.07	-0.0553838
3.075	-0.0413741
3.08	-0.0493472
3.085	-0.0681553
3.09	-0.0883051
3.095	-0.103112
3.1	-0.102946
3.105	-0.0935987
3.11	-0.0785318
3.115	-0.0601212
3.12	-0.0430865
3.125	-0.0459356
3.13	-0.0646432
3.135	-0.0922573
3.14	-0.113626
3.145	-0.116078
3.15	-0.110917
3.155	-0.0995748
3.16	-0.0823518
3.165	-0.0602749
3.17	-0.0460492
3.175	-0.0413387
3.18	-0.0469113
3.185	-0.0538696
3.19	-0.0555913
3.195	-0.0527511
3.2	-0.0463159
3.205	-0.0410145
3.21	-0.0415055
3.215	-0.0461279
3.22	-0.0533333
3.225	-0.0588107
3.23	-0.0605969
3.235	-0.0588564
3.24	-0.0517727
3.245	-0.0336588
3.25	-0.00352675
3.255	0.0234084
3.26	0.0398617
3.265	0.0363242
3.27	0.0152613
3.275	-0.0023759
3.28	-0.0114941
3.285	-0.00783358
3.29	0.00288304
3.295	0.0240767
3.3	0.0630962
3.305	0.124035
3.31	0.183593
3.315	0.202174
3.32	0.191072
3.325	0.160667
3.33	0.140582
3.335	0.129963
3.34	0.121551
3.345	0.115447
3.35	0.120955
3.355	0.139278
3.36	0.154733
3.365	0.162076
3.37	0.156205
3.375	0.145554
3.38	0.134383
3.385	0.122307
3.39	0.108164
3.395	0.0852721
3.4	0.0539304
3.405	0.018514
3.41	-0.0162765
3.415	-0.0400464
3.42	-0.055282
3.425	-0.0617355
3.43	-0.0597833
3.435	-0.053746
3.44	-0.0574501
3.445	-0.0694745
3.45	-0.0867581
3.455	-0.0975655
3.46	-0.0894563
3.465	-0.0703369
3.47	-0.046055
3.475	-0.0275705
3.48	-0.0172768
3.485	-0.00619102
3.49	0.00520061
3.495	0.0139091
3.5	0.0047983
3.505	-0.0131076
3.51	-0.0341301
3.515	-0.0522254
3.52	-0.0619265
3.525	-0.0662919
3.53	-0.0637637
3.535	-0.0529859
3.54	-0.0303273
3.545	-0.00116182
3.55	0.0308828
3.555	0.0622604
3.56	0.0823092
3.565	0.0873014
3.57	0.0876464
3.575	0.0887927
3.58	0.0986809
3.585	0.111256
3.59	0.118652
3.595	0.117652
3.6	0.104302
3.605	0.0731317
3.61	0.0343592
3.615	-0.0032463
3.62	-0.0289957
3.625	-0.0210501
3.63	-0.00328891
3.635	0.0124704
3.64	0.015754
3.645	0.00348594
3.65	-0.00388937
3.655	-0.00555604
3.66	-0.00235302
3.665	-0.00446414
3.67	-0.0189051
3.675	-0.0436497
3.68	-0.0762814
3.685	-0.109601
3.69	-0.124917
3.695	-0.120234
3.7	-0.0965964
3.705	-0.0577347
3.71	-0.0460377
3.715	-0.067971
3.72	-0.10535
3.725	-0.127199
3.73	-0.0898817
3.735	-0.0543972
3.74	-0.0395404
3.745	-0.0617221
3.75	-0.104234
3.755	-0.129377
3.76	-0.138236
3.765	-0.13232
3.77	-0.117638
3.775	-0.0869738
3.78	-0.0542976
3.785	-0.0319832
3.79	-0.0528174
3.795	-0.0742315
3.8	-0.0676982
3.805	-0.0321233
3.81	0.0111398
3.815	0.0109247
3.82	-0.0122905
3.825	-0.0435386
3.83	-0.0597758
3.835	-0.0472203
3.84	-0.0247181
3.845	0.00346802
3.85	0.0335141
3.855	0.0521912
3.86	0.0441409
3.865	0.010592
3.87	-0.0448452
3.875	-0.0908992
3.88	-0.107987
3.885	-0.0976413
3.89	-0.0605278
3.895	0.00448211
3.9	0.0617856
3.905	0.0894577
3.91	0.0797623
3.915	0.0316895
3.92	-0.0104863
3.925	-0.0335077
3.93	-0.0357118
3.935	-0.019393
3.94	0.00748725
3.945	0.0384151
3.95	0.0683315
3.955	0.0906337
3.96	0.084025
3.965	0.0654837
3.97	0.0474928
3.975	0.0424313
3.98	0.0656971
3.985	0.0952903
3.99	0.123608
3.995	0.145666
4	0.16124
4.005	0.173889
4.01	0.180716
4.015	0.179378
4.02	0.16439
4.025	0.140942
4.03	0.112578
4.035	0.0779016
4.04	0.0302307
4.045	-0.022673
4.05	-0.0560785
4.055	-0.0641048
4.06	-0.0424144
4.065	-0.0251177
4.07	-0.0294626
4.075	-0.0508935
4.08	-0.0822266
4.085	-0.0872868
4.09	-0.0632363
4.095	-0.0227074
4.1	0.0219022
4.105	0.0413246
4.11	0.0440542
4.115	0.0376364
4.12	0.0255238
4.125	0.00581285
4.13	-0.014577
4.135	-0.0308982
4.14	-0.0407674
4.145	-0.0409868
4.15	-0.0244421
4.155	0.00441152
4.16	0.0403985
4.165	0.0740005
4.17	0.0816381
4.175	0.0723332
4.18	0.0538038
4.185	0.0358392
4.19	0.0225866
4.195	0.0173277
4.2	0.0273835
4.205	0.0586222
4.21	0.0996207
4.215	0.10937
4.22	0.0869038
4.225	0.0348814
4.23	-0.0208868
4.235	-0.0589879
4.24	-0.0820389
4.245	-0.0877128
4.25	-0.0614513
4.255	0.0051113
4.26	0.0770357
4.265	0.129949
4.27	0.120295
4.275	0.0456185
4.28	-0.0372395
4.285	-0.110559
4.29	-0.156573
4.295	-0.151567
4.3	-0.117452
4.305	-0.0731326
4.31	-0.0389046
4.315	-0.0457161
4.32	-0.062189
4.325	-0.0779143
4.33	-0.0851053
4.335	-0.0811715
4.34	-0.0690671
4.345	-0.0489869
4.35	-0.0228971
4.355	-0.00139138
4.36	0.00387833
4.365	0.00187147
4.37	-0.00311555
4.375	-0.00542539
4.38	-0.0103417
4.385	-0.016472
4.39	-0.0209419
4.395	-0.0183808
4.4	-0.0105708
4.405	-0.0103222
4.41	-0.0218294
4.415	-0.0489819
4.42	-0.0851048
4.425	-0.104403
4.43	-0.0970151
4.435	-0.0555759
4.44	0.0131438
4.445	0.0558076
4.45	0.0615158
4.455	0.0269797
4.46	-0.0276611
4.465	-0.0603578
4.47	-0.0745804
4.475	-0.0740402
4.48	-0.0688746
4.485	-0.058603
4.49	-0.0404524
4.495	-0.0178244
4.5	-0.000495549
4.505	-0.0140433
4.51	-0.0429722
4.515	-0.0765453
4.52	-0.100684
4.525	-0.110917
4.53	-0.121811
4.535	-0.1307
4.54	-0.133859
4.545	-0.111271
4.55	-0.0752054
4.555	-0.0387655
4.56	-0.0128487
4.565	-0.0180061
4.57	-0.0356216
4.575	-0.0493287
4.58	-0.0507009
4.585	-0.0325293
4.59	-0.00618779
4.595	0.0275692
4.6	0.069079
4.605	0.119948
4.61	0.154355
4.615	0.160957
4.62	0.142674
4.625	0.108102
4.63	0.0878038
4.635	0.0752858
4.64	0.0650194
4.645	0.0508267
4.65	0.0457804
4.655	0.0531529
4.66	0.0616218
4.665	0.060382
4.67	0.0259061
4.675	-0.0164223
4.68	-0.0490246
4.685	-0.0624766
4.69	-0.054607
4.695	-0.0521768
4.7	-0.0523439
4.705	-0.0506701
4.71	-0.0341777
4.715	-0.0145479
4.72	-0.00722426
4.725	-0.0157944
4.73	-0.0418237
4.735	-0.0683816
4.74	-0.0795
4.745	-0.0701782
4.75	-0.0357039
4.755	0.00897704
4.76	0.0379053
4.765	0.046197
4.77	0.030219
4.775	-0.0116848
4.78	-0.059002
4.785	-0.104637
4.79	-0.142861
4.795	-0.162218
4.8	-0.157738
4.805	-0.132935
4.81	-0.0905462
4.815	-0.0370116
4.82	-0.0037402
4.825	-0.0026833
4.83	-0.0316047
4.835	-0.0765998
4.84	-0.094372
4.845	-0.0906586
4.85	-0.0685293
4.855	-0.0320567
4.86	0.0111548
4.865	0.0317482
4.87	0.0213684
4.875	-0.0264578
4.88	-0.0810616
4.885	-0.106588
4.89	-0.103745
4.895	-0.0737651
4.9	-0.0197522
4.905	0.0410252
4.91	0.0922644
4.915	0.121945
4.92	0.105491
4.925	0.064938
4.93	0.0305007
4.935	0.0158238
4.94	0.0367955
4.945	0.0705987
4.95	0.0930084
4.955	0.0935899
4.96	0.0590969
4.965	-0.00799857
4.97	-0.0690293
4.975	-0.113305
4.98	-0.131096
4.985	-0.13488
4.99	-0.133187
4.995	-0.118037
5	-0.0826272
5.005	-0.028593
5.01	0.00571124
5.015	0.0123415
5.02	-0.0119218
5.025	-0.0570687
5.03	-0.0907333
5.035	-0.109028
5.04	-0.110221
5.045	-0.0930674
5.05	-0.0561463
5.055	-0.0159441
5.06	0.0125851
5.065	0.000516176
5.07	-0.0612796
5.075	-0.127237
5.08	-0.17948
5.085	-0.197865
5.09	-0.157708
5.095	-0.0912233
5.1	-0.0193732
5.105	0.0360054
5.11	0.0310641
5.115	0.00086076
5.12	-0.0309044
5.125	-0.0460032
5.13	-0.026242
5.135	-0.0032926
5.14	0.0133047
5.145	0.0199127
5.15	0.019584
5.155	0.0156792
5.16	0.00200318
5.165	-0.0255525
5.17	-0.0745298
5.175	-0.132292
5.18	-0.183819
5.185	-0.224721
5.19	-0.250939
5.195	-0.253861
5.2	-0.237494
5.205	-0.20668
