x	Dis
2.105	0.004127252
2.11	0.003896816
2.115	0.00364
2.12	0.003365655
2.125	0.003082461
2.13	0.002798748
2.135	0.00252146
2.14	0.002256183
2.145	0.002006651
2.15	0.001774797
2.155	0.001560729
2.16	0.001363251
2.165	0.001180068
2.17	0.001008341
2.175	0.000845329
2.18	0.000688737
2.185	0.000537212
2.19	0.000390702
2.195	0.000250402
2.2	0.000118918
2.205	-2.04327E-08
2.21	-0.000101825
2.215	-0.00018168
2.22	-0.000234754
2.225	-0.00025695
2.23	-0.000245224
2.235	-0.000198029
2.24	-0.000115595
2.245	1.67966E-07
2.25	0.000145352
2.255	0.000314631
2.26	0.000501485
2.265	0.000698619
2.27	0.000898476
2.275	0.001093921
2.28	0.001278655
2.285	0.001447683
2.29	0.00159782
2.295	0.001727753
2.3	0.001838293
2.305	0.001932276
2.31	0.002014284
2.315	0.002090427
2.32	0.002167809
2.325	0.002253971
2.33	0.002356482
2.335	0.002482197
2.34	0.002636806
2.345	0.00282439
2.35	0.003046995
2.355	0.003304612
2.36	0.003594915
2.365	0.00391324
2.37	0.004253245
2.375	0.004606704
2.38	0.004964293
2.385	0.005316059
2.39	0.005651744
2.395	0.005961548
2.4	0.006236525
2.405	0.006469002
2.41	0.006653124
2.415	0.006784859
2.42	0.006862229
2.425	0.006885533
2.43	0.006856857
2.435	0.006780274
2.44	0.00666125
2.445	0.006506391
2.45	0.006322889
2.455	0.006118187
2.46	0.005899326
2.465	0.005672489
2.47	0.005442616
2.475	0.005212964
2.48	0.004984957
2.485	0.004757969
2.49	0.004529546
2.495	0.004295293
2.5	0.004049574
2.505	0.003785684
2.51	0.003496683
2.515	0.003175815
2.52	0.002817287
2.525	0.002416902
2.53	0.001972541
2.535	0.001484363
2.54	0.000955285
2.545	0.000390777
2.55	-0.000201439
2.555	-0.000811593
2.56	-0.001428631
2.565	-0.002040922
2.57	-0.002636893
2.575	-0.003205834
2.58	-0.003738537
2.585	-0.004227812
2.59	-0.004668727
2.595	-0.005058909
2.6	-0.005398156
2.605	-0.005688473
2.61	-0.005933485
2.615	-0.006137753
2.62	-0.006306597
2.625	-0.006445014
2.63	-0.006557671
2.635	-0.006648198
2.64	-0.006719174
2.645	-0.006771867
2.65	-0.00680648
2.655	-0.00682214
2.66	-0.006817315
2.665	-0.006790041
2.67	-0.006738174
2.675	-0.006659742
2.68	-0.006553157
2.685	-0.006417285
2.69	-0.006251718
2.695	-0.006056647
2.7	-0.005832905
2.705	-0.005582151
2.71	-0.005306595
2.715	-0.005009179
2.72	-0.004693551
2.725	-0.004364016
2.73	-0.004025431
2.735	-0.003683403
2.74	-0.003343862
2.745	-0.003012951
2.75	-0.002696847
2.755	-0.002401293
2.76	-0.002131235
2.765	-0.001890377
2.77	-0.001680762
2.775	-0.001502471
2.78	-0.001353358
2.785	-0.001228956
2.79	-0.00112255
2.795	-0.001025468
2.8	-0.000927535
2.805	-0.000817612
2.81	-0.000684352
2.815	-0.00051689
2.82	-0.000305594
2.825	-4.26888E-05
2.83	0.000277113
2.835	0.00065649
2.84	0.001095064
2.845	0.00158967
2.85	0.002134458
2.855	0.002721192
2.86	0.003339713
2.865	0.003978336
2.87	0.004624278
2.875	0.005264046
2.88	0.005883622
2.885	0.006468665
2.89	0.00700489
2.895	0.007477887
2.9	0.007873628
2.905	0.008178625
2.91	0.008380309
2.915	0.008467702
2.92	0.008431835
2.925	0.008266751
2.93	0.007969791
2.935	0.007542424
2.94	0.006990489
2.945	0.006324252
2.95	0.005558217
2.955	0.004710692
2.96	0.003802815
2.965	0.002857476
2.97	0.001898384
2.975	0.000948679
2.98	2.98448E-05
2.985	-0.000838779
2.99	-0.001641003
2.995	-0.002363698
3	-0.002997075
3.005	-0.00353407
3.01	-0.003969995
3.015	-0.004301976
3.02	-0.004528152
3.025	-0.004647338
3.03	-0.004658645
3.035	-0.004561125
3.04	-0.004354161
3.045	-0.004037393
3.05	-0.003611613
3.055	-0.003078774
3.06	-0.002443224
3.065	-0.001711555
3.07	-0.000893386
3.075	-1.15145E-06
3.08	0.000950131
3.085	0.00194316
3.09	0.002959579
3.095	0.003980449
3.1	0.004987854
3.105	0.005965299
3.11	0.006899259
3.115	0.007779081
3.12	0.008597638
3.125	0.009350985
3.13	0.010038078
3.135	0.010659582
3.14	0.011217479
3.145	0.011713587
3.15	0.012149085
3.155	0.012523518
3.16	0.012834548
3.165	0.013077745
3.17	0.013246678
3.175	0.013333323
3.18	0.013328661
3.185	0.013223083
3.19	0.013007166
3.195	0.012671992
3.2	0.012209562
3.205	0.011612876
3.21	0.010875939
3.215	0.009994155
3.22	0.008963785
3.225	0.007782517
3.23	0.006449172
3.235	0.004964469
3.24	0.003330969
3.245	0.00155397
3.25	-0.000358297
3.255	-0.002394272
3.26	-0.004538541
3.265	-0.006772578
3.27	-0.009074464
3.275	-0.011420148
3.28	-0.013784049
3.285	-0.016140498
3.29	-0.018464375
3.295	-0.02073295
3.3	-0.022925943
3.305	-0.02502666
3.31	-0.02702155
3.315	-0.028900083
3.32	-0.030653866
3.325	-0.03227542
3.33	-0.033757206
3.335	-0.035090081
3.34	-0.036262225
3.345	-0.037258688
3.35	-0.038060896
3.355	-0.038646922
3.36	-0.038992524
3.365	-0.039072417
3.37	-0.038862161
3.375	-0.03833992
3.38	-0.037488684
3.385	-0.036297522
3.39	-0.034763057
3.395	-0.03288937
3.4	-0.030688219
3.405	-0.028177254
3.41	-0.025378579
3.415	-0.022317825
3.42	-0.019021455
3.425	-0.015517103
3.43	-0.011833142
3.435	-0.008000131
3.44	-0.004052153
3.445	-2.83786E-05
3.45	0.004026741
3.455	0.008064467
3.46	0.012034312
3.465	0.01588897
3.47	0.019588696
3.475	0.023103733
3.48	0.026416598
3.485	0.029518798
3.49	0.03240601
3.495	0.035071831
3.5	0.03750148
3.505	0.039671157
3.51	0.041549485
3.515	0.043105248
3.52	0.04431593
3.525	0.045175452
3.53	0.045696374
3.535	0.045906357
3.54	0.045838125
3.545	0.045517303
3.55	0.044952329
3.555	0.044130642
3.56	0.043022584
3.565	0.041592456
3.57	0.039811708
3.575	0.03767075
3.58	0.035183575
3.585	0.032386299
3.59	0.029328853
3.595	0.026064854
3.6	0.022643562
3.605	0.019104963
3.61	0.015480517
3.615	0.011795535
3.62	0.008073078
3.625	0.004335169
3.63	0.000604065
3.635	-0.003099908
3.64	-0.006758768
3.645	-0.010357158
3.65	-0.013881938
3.655	-0.017320057
3.66	-0.020658107
3.665	-0.023881631
3.67	-0.026976226
3.675	-0.029928019
3.68	-0.032724306
3.685	-0.035352252
3.69	-0.037796907
3.695	-0.040039197
3.7	-0.042054061
3.705	-0.043810643
3.71	-0.045273572
3.715	-0.046406612
3.72	-0.0471761
3.725	-0.047555327
3.73	-0.047526918
3.735	-0.047084749
3.74	-0.046233837
3.745	-0.044989403
3.75	-0.043375168
3.755	-0.04142135
3.76	-0.039162848
3.765	-0.036637474
3.77	-0.033884518
3.775	-0.030943852
3.78	-0.027854823
3.785	-0.024655594
3.79	-0.021382613
3.795	-0.018069984
3.8	-0.014749561
3.805	-0.011449998
3.81	-0.008197775
3.815	-0.005015394
3.82	-0.001922945
3.825	0.001062654
3.83	0.003927402
3.835	0.006660781
3.84	0.009254778
3.845	0.011703806
3.85	0.014004438
3.855	0.016154127
3.86	0.018150428
3.865	0.019990241
3.87	0.02166817
3.875	0.023176026
3.88	0.024502205
3.885	0.025631212
3.89	0.026544306
3.895	0.027220488
3.9	0.027637808
3.905	0.027775496
3.91	0.027616268
3.915	0.02714836
3.92	0.026367934
3.925	0.025280282
3.93	0.023900831
3.935	0.022254828
3.94	0.02037663
3.945	0.018307047
3.95	0.016091246
3.955	0.013775309
3.96	0.011403156
3.965	0.009013584
3.97	0.006638117
3.975	0.004299881
3.98	0.002013821
3.985	-0.000212558
3.99	-0.00237717
